Group no.	Hierarchy level	RDA element	Element name									Occurrence count	Hierarchical consistency code: Code 1	Code 2	Code 3	DC term							
45	4				rdaw:P10542	aggregator corporate body						3	1		1	dct:creator							
45	5					rdaw:P10538	compiler corporate body					6	1		1	dct:creator							
45	6						rdaw:P10636	collection registrar corporate body				10	1		1	dct:creator							
45	4				rdaw:P10589	aggregator family						3	1		1	dct:creator							
45	5					rdaw:P10585	compiler family					6	1		1	dct:creator							
45	6						rdaw:P10637	collection registrar family				10	1		1	dct:creator							
45	2		rdaw:P10437	creator person of work								1	1		1	dct:creator							
45	3			rdaw:P10035	appellee person							1	1		1	dct:creator							
45	3			rdaw:P10042	appellant person							1	1		1	dct:creator							
45	3			rdaw:P10043	plaintiff person							1	1		1	dct:creator							
45	3			rdaw:P10286	defendant person							1	1		1	dct:creator							
45	4				rdaw:P10396	criminal defendant person						1	1		1	dct:creator							
45	3			rdaw:P10407	academic supervisor							1	3		3		*dct:contributor						
45	3			rdaw:P10415	director person of photography							2	1		1	dct:creator							
45	3			rdaw:P10416	researcher person							2	1		1	dct:creator							
45	3			rdaw:P10417	editorial director person							2	1		1	dct:creator							
45	3			rdaw:P10434	choreographer person							2	1		1	dct:creator							
45	3			rdaw:P10435	cartographer person of work							2	1		1	dct:creator							
45	3			rdaw:P10436	author person							2	1		1	dct:creator							
45	4				rdaw:P10429	screenwriter person						3	1		1	dct:creator							
45	4				rdaw:P10430	lyricist person						3	1		1	dct:creator							
45	4				rdaw:P10431	librettist person						3	1		1	dct:creator							
45	4				rdaw:P10432	rapporteur person						3	1		1	dct:creator							
45	3			rdaw:P10438	architect person							2	1		1	dct:creator							
45	4				rdaw:P10425	landscape architect person						3	1		1	dct:creator							
45	3			rdaw:P10440	programmer person							2	1		1	dct:creator							
45	3			rdaw:P10441	designer person							2	1		1	dct:creator							
45	3			rdaw:P10442	composer person of work							2	1		1	dct:creator							
45	3			rdaw:P10443	inventor person							2	1		1	dct:creator							
45	3			rdaw:P10445	photographer person of work							2	1		1	dct:creator							
45	3			rdaw:P10446	interviewer person of work							2	1		1	dct:creator							
45	3			rdaw:P10447	interviewee person of work							2	1		1	dct:creator							
45	3			rdaw:P10448	aggregator person							2	1		1	dct:creator							
45	4				rdaw:P10444	compiler person						3	1		1	dct:creator							
45	5					rdaw:P10638	collection registrar person					4	1		1	dct:creator							
45	3			rdaw:P10449	remix artist person							2	1		1	dct:creator							
45	3			rdaw:P10450	filmmaker person							2	1		1	dct:creator							
45	3			rdaw:P10451	artist person							2	1		1	dct:creator							
45	4				rdaw:P10426	calligrapher person						3	1		1	dct:creator							
45	4				rdaw:P10427	sculptor person						3	1		1	dct:creator							
45	4				rdaw:P10428	book artist person						3	1		1	dct:creator							
45	3			rdaw:P10452	founder person of work							2	1		1	dct:creator							
45	3			rdaw:P10453	casting director person							2	1		1	dct:creator							
45	3			rdaw:P10454	producer person							2	1		1	dct:creator							
45	4				rdaw:P10421	audio producer person						3	1		1	dct:creator							
45	4				rdaw:P10422	film producer person						3	1		1	dct:creator							
45	4				rdaw:P10423	radio producer person						3	1		1	dct:creator							
45	4				rdaw:P10424	television producer person						3	1		1	dct:creator							
45	3			rdaw:P10455	director person							2	1		1	dct:creator							
45	4				rdaw:P10418	film director person						3	1		1	dct:creator							
45	4				rdaw:P10419	radio director person						3	1		1	dct:creator							
45	4				rdaw:P10420	television director person						3	1		1	dct:creator							
45	3			rdaw:P10457	organizer person							2	1		1	dct:creator							
45	3			rdaw:P10458	consultant person							2	1		1	dct:creator							
45	3			rdaw:P10633	collector person							2	1		1	dct:creator							
45	2		rdaw:P10484	creator collective agent of work								1	1		1	dct:creator							
45	3			rdaw:P10462	director collective agent of photography							2	1		1	dct:creator							
45	4				rdaw:P10509	director corporate body of photography						3	1		1	dct:creator							
45	4				rdaw:P10556	director family of photography						3	1		1	dct:creator							
45	3			rdaw:P10463	researcher collective agent							2	1		1	dct:creator							
45	4				rdaw:P10510	researcher corporate body						3	1		1	dct:creator							
45	4				rdaw:P10557	researcher family						3	1		1	dct:creator							
45	3			rdaw:P10464	editorial director collective agent							2	1		1	dct:creator							
45	4				rdaw:P10511	editorial director corporate body						3	1		1	dct:creator							
45	4				rdaw:P10558	editorial director family						3	1		1	dct:creator							
45	3			rdaw:P10481	choreographer collective agent							2	1		1	dct:creator							
45	4				rdaw:P10528	choreographer corporate body						3	1		1	dct:creator							
45	4				rdaw:P10575	choreographer family						3	1		1	dct:creator							
45	3			rdaw:P10482	cartographer collective agent of work							2	1		1	dct:creator							
45	4				rdaw:P10529	cartographer corporate body of work						3	1		1	dct:creator							
45	4				rdaw:P10576	cartographer family of work						3	1		1	dct:creator							
45	3			rdaw:P10483	author collective agent							2	1		1	dct:creator							
45	4				rdaw:P10476	screenwriter collective agent						3	1		1	dct:creator							
45	5					rdaw:P10523	screenwriter corporate body					6	1		1	dct:creator							
45	5					rdaw:P10570	screenwriter family					6	1		1	dct:creator							
45	4				rdaw:P10477	lyricist collective agent						3	1		1	dct:creator							
45	5					rdaw:P10524	lyricist corporate body					6	1		1	dct:creator							
45	5					rdaw:P10571	lyricist family					6	1		1	dct:creator							
45	4				rdaw:P10478	librettist collective agent						3	1		1	dct:creator							
45	5					rdaw:P10525	librettist corporate body					6	1		1	dct:creator							
45	5					rdaw:P10572	librettist family					6	1		1	dct:creator							
45	4				rdaw:P10479	rapporteur collective agent						3	1		1	dct:creator							
45	5					rdaw:P10526	rapporteur corporate body					6	1		1	dct:creator							
45	5					rdaw:P10573	rapporteur family					6	1		1	dct:creator							
45	4				rdaw:P10530	author corporate body						3	1		1	dct:creator							
45	5					rdaw:P10523	screenwriter corporate body					6	1		1	dct:creator							
45	5					rdaw:P10524	lyricist corporate body					6	1		1	dct:creator							
45	5					rdaw:P10525	librettist corporate body					6	1		1	dct:creator							
45	5					rdaw:P10526	rapporteur corporate body					6	1		1	dct:creator							
45	4				rdaw:P10577	author family						3	1		1	dct:creator							
45	5					rdaw:P10570	screenwriter family					6	1		1	dct:creator							
45	5					rdaw:P10571	lyricist family					6	1		1	dct:creator							
45	5					rdaw:P10572	librettist family					6	1		1	dct:creator							
45	5					rdaw:P10573	rapporteur family					6	1		1	dct:creator							
45	3			rdaw:P10485	architect collective agent							2	1		1	dct:creator							
45	4				rdaw:P10472	landscape architect collective agent						3	1		1	dct:creator							
45	5					rdaw:P10519	landscape architect corporate body					6	1		1	dct:creator							
45	5					rdaw:P10566	landscape architect family					6	1		1	dct:creator							
45	4				rdaw:P10532	architect corporate body						3	1		1	dct:creator							
45	5					rdaw:P10519	landscape architect corporate body					6	1		1	dct:creator							
45	4				rdaw:P10579	architect family						3	1		1	dct:creator							
45	5					rdaw:P10566	landscape architect family					6	1		1	dct:creator							
45	3			rdaw:P10487	programmer collective agent							2	1		1	dct:creator							
45	4				rdaw:P10534	programmer corporate body						3	1		1	dct:creator							
45	4				rdaw:P10581	programmer family						3	1		1	dct:creator							
45	3			rdaw:P10488	designer collective agent							2	1		1	dct:creator							
45	4				rdaw:P10535	designer corporate body						3	1		1	dct:creator							
45	4				rdaw:P10582	designer family						3	1		1	dct:creator							
45	3			rdaw:P10489	composer collective agent of work							2	1		1	dct:creator							
45	4				rdaw:P10536	composer corporate body of work						3	1		1	dct:creator							
45	4				rdaw:P10583	composer family of work						3	1		1	dct:creator							
45	3			rdaw:P10490	inventor collective agent							2	1		1	dct:creator							
45	4				rdaw:P10537	inventor corporate body						3	1		1	dct:creator							
45	4				rdaw:P10584	inventor family						3	1		1	dct:creator							
45	3			rdaw:P10492	photographer collective agent of work							2	1		1	dct:creator							
45	4				rdaw:P10539	photographer corporate body of work						3	1		1	dct:creator							
45	4				rdaw:P10586	photographer family of work						3	1		1	dct:creator							
45	3			rdaw:P10493	interviewer collective agent of work							2	1		1	dct:creator							
45	4				rdaw:P10540	interviewer corporate body of work						3	1		1	dct:creator							
45	4				rdaw:P10587	interviewer family of work						3	1		1	dct:creator							
45	3			rdaw:P10494	interviewee collective agent of work							2	1		1	dct:creator							
45	4				rdaw:P10541	interviewee corporate body of work						3	1		1	dct:creator							
45	4				rdaw:P10588	interviewee family of work						3	1		1	dct:creator							
45	3			rdaw:P10495	aggregator collective agent							2	1		1	dct:creator							
45	4				rdaw:P10491	compiler collective agent						3	1		1	dct:creator							
45	5					rdaw:P10538	compiler corporate body					6	1		1	dct:creator							
45	6						rdaw:P10636	collection registrar corporate body				10	1		1	dct:creator							
45	5					rdaw:P10585	compiler family					6	1		1	dct:creator							
45	6						rdaw:P10637	collection registrar family				10	1		1	dct:creator							
45	5					rdaw:P10635	collection registrar collective agent					4	1		1	dct:creator							
45	6						rdaw:P10636	collection registrar corporate body				10	1		1	dct:creator							
45	6						rdaw:P10637	collection registrar family				10	1		1	dct:creator							
45	4				rdaw:P10542	aggregator corporate body						3	1		1	dct:creator							
45	5					rdaw:P10538	compiler corporate body					6	1		1	dct:creator							
45	6						rdaw:P10636	collection registrar corporate body				10	1		1	dct:creator							
45	4				rdaw:P10589	aggregator family						3	1		1	dct:creator							
45	5					rdaw:P10585	compiler family					6	1		1	dct:creator							
45	6						rdaw:P10637	collection registrar family				10	1		1	dct:creator							
45	3			rdaw:P10496	remix artist collective agent							2	1		1	dct:creator							
45	4				rdaw:P10543	remix artist corporate body						3	1		1	dct:creator							
45	4				rdaw:P10590	remix artist family						3	1		1	dct:creator							
45	3			rdaw:P10497	filmmaker collective agent							2	1		1	dct:creator							
45	4				rdaw:P10544	filmmaker corporate body						3	1		1	dct:creator							
45	4				rdaw:P10591	filmmaker family						3	1		1	dct:creator							
45	3			rdaw:P10498	artist collective agent							2	1		1	dct:creator							
45	4				rdaw:P10473	calligrapher collective agent						3	1		1	dct:creator							
45	5					rdaw:P10520	calligrapher corporate body					6	1		1	dct:creator							
45	5					rdaw:P10567	calligrapher family					6	1		1	dct:creator							
45	4				rdaw:P10474	sculptor collective agent						3	1		1	dct:creator							
45	5					rdaw:P10521	sculptor corporate body					6	1		1	dct:creator							
45	5					rdaw:P10568	sculptor family					6	1		1	dct:creator							
45	4				rdaw:P10475	book artist collective agent						3	1		1	dct:creator							
45	5					rdaw:P10522	book artist corporate body					6	1		1	dct:creator							
45	5					rdaw:P10569	book artist family					6	1		1	dct:creator							
45	4				rdaw:P10545	artist corporate body						3	1		1	dct:creator							
45	5					rdaw:P10520	calligrapher corporate body					6	1		1	dct:creator							
45	5					rdaw:P10521	sculptor corporate body					6	1		1	dct:creator							
45	5					rdaw:P10522	book artist corporate body					6	1		1	dct:creator							
45	4				rdaw:P10592	artist family						3	1		1	dct:creator							
45	5					rdaw:P10567	calligrapher family					6	1		1	dct:creator							
45	5					rdaw:P10568	sculptor family					6	1		1	dct:creator							
45	5					rdaw:P10569	book artist family					6	1		1	dct:creator							
45	3			rdaw:P10499	founder collective agent of work							2	1		1	dct:creator							
45	4				rdaw:P10546	founder corporate body of work						3	1		1	dct:creator							
45	4				rdaw:P10593	founder family of work						3	1		1	dct:creator							
45	3			rdaw:P10500	casting director collective agent							2	1		1	dct:creator							
45	4				rdaw:P10547	casting director corporate body						3	1		1	dct:creator							
45	4				rdaw:P10594	casting director family						3	1		1	dct:creator							
45	3			rdaw:P10501	producer collective agent							2	1		1	dct:creator							
45	4				rdaw:P10468	audio producer collective agent						3	1		1	dct:creator							
45	5					rdaw:P10515	audio producer corporate body					6	1		1	dct:creator							
45	5					rdaw:P10562	audio producer family					6	1		1	dct:creator							
45	4				rdaw:P10469	film producer collective agent						3	1		1	dct:creator							
45	5					rdaw:P10516	film producer corporate body					6	1		1	dct:creator							
45	5					rdaw:P10563	film producer family					6	1		1	dct:creator							
45	4				rdaw:P10470	radio producer collective agent						3	1		1	dct:creator							
45	5					rdaw:P10517	radio producer corporate body					6	1		1	dct:creator							
45	5					rdaw:P10564	radio producer family					6	1		1	dct:creator							
45	4				rdaw:P10471	television producer collective agent						3	1		1	dct:creator							
45	5					rdaw:P10518	television producer corporate body					6	1		1	dct:creator							
45	5					rdaw:P10565	television producer family					6	1		1	dct:creator							
45	4				rdaw:P10548	producer corporate body						3	1		1	dct:creator							
45	5					rdaw:P10515	audio producer corporate body					6	1		1	dct:creator							
45	5					rdaw:P10516	film producer corporate body					6	1		1	dct:creator							
45	5					rdaw:P10517	radio producer corporate body					6	1		1	dct:creator							
45	5					rdaw:P10518	television producer corporate body					6	1		1	dct:creator							
45	4				rdaw:P10595	producer family						3	1		1	dct:creator							
45	5					rdaw:P10562	audio producer family					6	1		1	dct:creator							
45	5					rdaw:P10563	film producer family					6	1		1	dct:creator							
45	5					rdaw:P10564	radio producer family					6	1		1	dct:creator							
45	5					rdaw:P10565	television producer family					6	1		1	dct:creator							
45	3			rdaw:P10502	director collective agent							2	1		1	dct:creator							
45	4				rdaw:P10465	film director collective agent						3	1		1	dct:creator							
45	5					rdaw:P10512	film director corporate body					6	1		1	dct:creator							
45	5					rdaw:P10559	film director family					6	1		1	dct:creator							
45	4				rdaw:P10466	radio director collective agent						3	1		1	dct:creator							
45	5					rdaw:P10513	radio director corporate body					6	1		1	dct:creator							
45	5					rdaw:P10560	radio director family					6	1		1	dct:creator							
45	4				rdaw:P10467	television director collective agent						3	1		1	dct:creator							
45	5					rdaw:P10514	television director corporate body					6	1		1	dct:creator							
45	5					rdaw:P10561	television director family					6	1		1	dct:creator							
45	4				rdaw:P10549	director corporate body						3	1		1	dct:creator							
45	5					rdaw:P10512	film director corporate body					6	1		1	dct:creator							
45	5					rdaw:P10513	radio director corporate body					6	1		1	dct:creator							
45	5					rdaw:P10514	television director corporate body					6	1		1	dct:creator							
45	4				rdaw:P10596	director family						3	1		1	dct:creator							
45	5					rdaw:P10559	film director family					6	1		1	dct:creator							
45	5					rdaw:P10560	radio director family					6	1		1	dct:creator							
45	5					rdaw:P10561	television director family					6	1		1	dct:creator							
45	3			rdaw:P10504	organizer collective agent							2	1		1	dct:creator							
45	4				rdaw:P10551	organizer corporate body						3	1		1	dct:creator							
45	4				rdaw:P10598	organizer family						3	1		1	dct:creator							
45	3			rdaw:P10505	consultant collective agent							2	1		1	dct:creator							
45	4				rdaw:P10552	consultant corporate body						3	1		1	dct:creator							
45	4				rdaw:P10599	consultant family						3	1		1	dct:creator							
45	3			rdaw:P10531	creator corporate body of work							1	1		1	dct:creator							
45	4				rdaw:P10005	appellee corporate body						1	1		1	dct:creator							
45	4				rdaw:P10008	production company						1	1		1	dct:creator							
45	4				rdaw:P10009	appellant corporate body						1	1		1	dct:creator							
45	4				rdaw:P10010	plaintiff corporate body						1	1		1	dct:creator							
45	4				rdaw:P10285	defendant corporate body						1	1		1	dct:creator							
45	5					rdaw:P10394	criminal defendant corporate body					1	1		1	dct:creator							
45	4				rdaw:P10292	participant in treaty						1	1		1	dct:creator							
45	4				rdaw:P10509	director corporate body of photography						3	1		1	dct:creator							
45	4				rdaw:P10510	researcher corporate body						3	1		1	dct:creator							
45	4				rdaw:P10511	editorial director corporate body						3	1		1	dct:creator							
45	4				rdaw:P10528	choreographer corporate body						3	1		1	dct:creator							
45	4				rdaw:P10529	cartographer corporate body of work						3	1		1	dct:creator							
45	4				rdaw:P10530	author corporate body						3	1		1	dct:creator							
45	5					rdaw:P10523	screenwriter corporate body					6	1		1	dct:creator							
45	5					rdaw:P10524	lyricist corporate body					6	1		1	dct:creator							
45	5					rdaw:P10525	librettist corporate body					6	1		1	dct:creator							
45	5					rdaw:P10526	rapporteur corporate body					6	1		1	dct:creator							
45	4				rdaw:P10532	architect corporate body						3	1		1	dct:creator							
45	5					rdaw:P10519	landscape architect corporate body					6	1		1	dct:creator							
45	4				rdaw:P10534	programmer corporate body						3	1		1	dct:creator							
45	4				rdaw:P10535	designer corporate body						3	1		1	dct:creator							
45	4				rdaw:P10536	composer corporate body of work						3	1		1	dct:creator							
45	4				rdaw:P10537	inventor corporate body						3	1		1	dct:creator							
45	4				rdaw:P10539	photographer corporate body of work						3	1		1	dct:creator							
45	4				rdaw:P10540	interviewer corporate body of work						3	1		1	dct:creator							
45	4				rdaw:P10541	interviewee corporate body of work						3	1		1	dct:creator							
45	4				rdaw:P10542	aggregator corporate body						3	1		1	dct:creator							
45	5					rdaw:P10538	compiler corporate body					6	1		1	dct:creator							
45	6						rdaw:P10636	collection registrar corporate body				10	1		1	dct:creator							
45	4				rdaw:P10543	remix artist corporate body						3	1		1	dct:creator							
45	4				rdaw:P10544	filmmaker corporate body						3	1		1	dct:creator							
45	4				rdaw:P10545	artist corporate body						3	1		1	dct:creator							
45	5					rdaw:P10520	calligrapher corporate body					6	1		1	dct:creator							
45	5					rdaw:P10521	sculptor corporate body					6	1		1	dct:creator							
45	5					rdaw:P10522	book artist corporate body					6	1		1	dct:creator							
45	4				rdaw:P10546	founder corporate body of work						3	1		1	dct:creator							
45	4				rdaw:P10547	casting director corporate body						3	1		1	dct:creator							
45	4				rdaw:P10548	producer corporate body						3	1		1	dct:creator							
45	5					rdaw:P10515	audio producer corporate body					6	1		1	dct:creator							
45	5					rdaw:P10516	film producer corporate body					6	1		1	dct:creator							
45	5					rdaw:P10517	radio producer corporate body					6	1		1	dct:creator							
45	5					rdaw:P10518	television producer corporate body					6	1		1	dct:creator							
45	4				rdaw:P10549	director corporate body						3	1		1	dct:creator							
45	5					rdaw:P10512	film director corporate body					6	1		1	dct:creator							
45	5					rdaw:P10513	radio director corporate body					6	1		1	dct:creator							
45	5					rdaw:P10514	television director corporate body					6	1		1	dct:creator							
45	4				rdaw:P10551	organizer corporate body						3	1		1	dct:creator							
45	4				rdaw:P10552	consultant corporate body						3	1		1	dct:creator							
45	4				rdaw:P10631	collector corporate body						3	1		1	dct:creator							
45	3			rdaw:P10578	creator family of work							1	1		1	dct:creator							
45	4				rdaw:P10556	director family of photography						3	1		1	dct:creator							
45	4				rdaw:P10557	researcher family						3	1		1	dct:creator							
45	4				rdaw:P10558	editorial director family						3	1		1	dct:creator							
45	4				rdaw:P10575	choreographer family						3	1		1	dct:creator							
45	4				rdaw:P10576	cartographer family of work						3	1		1	dct:creator							
45	4				rdaw:P10577	author family						3	1		1	dct:creator							
45	5					rdaw:P10570	screenwriter family					6	1		1	dct:creator							
45	5					rdaw:P10571	lyricist family					6	1		1	dct:creator							
45	5					rdaw:P10572	librettist family					6	1		1	dct:creator							
45	5					rdaw:P10573	rapporteur family					6	1		1	dct:creator							
45	4				rdaw:P10579	architect family						3	1		1	dct:creator							
45	5					rdaw:P10566	landscape architect family					6	1		1	dct:creator							
45	4				rdaw:P10581	programmer family						3	1		1	dct:creator							
45	4				rdaw:P10582	designer family						3	1		1	dct:creator							
45	4				rdaw:P10583	composer family of work						3	1		1	dct:creator							
45	4				rdaw:P10584	inventor family						3	1		1	dct:creator							
45	4				rdaw:P10586	photographer family of work						3	1		1	dct:creator							
45	4				rdaw:P10587	interviewer family of work						3	1		1	dct:creator							
45	4				rdaw:P10588	interviewee family of work						3	1		1	dct:creator							
45	4				rdaw:P10589	aggregator family						3	1		1	dct:creator							
45	5					rdaw:P10585	compiler family					6	1		1	dct:creator							
45	6						rdaw:P10637	collection registrar family				10	1		1	dct:creator							
45	4				rdaw:P10590	remix artist family						3	1		1	dct:creator							
45	4				rdaw:P10591	filmmaker family						3	1		1	dct:creator							
45	4				rdaw:P10592	artist family						3	1		1	dct:creator							
45	5					rdaw:P10567	calligrapher family					6	1		1	dct:creator							
45	5					rdaw:P10568	sculptor family					6	1		1	dct:creator							
45	5					rdaw:P10569	book artist family					6	1		1	dct:creator							
45	4				rdaw:P10593	founder family of work						3	1		1	dct:creator							
45	4				rdaw:P10594	casting director family						3	1		1	dct:creator							
45	4				rdaw:P10595	producer family						3	1		1	dct:creator							
45	5					rdaw:P10562	audio producer family					6	1		1	dct:creator							
45	5					rdaw:P10563	film producer family					6	1		1	dct:creator							
45	5					rdaw:P10564	radio producer family					6	1		1	dct:creator							
45	5					rdaw:P10565	television producer family					6	1		1	dct:creator							
45	4				rdaw:P10596	director family						3	1		1	dct:creator							
45	5					rdaw:P10559	film director family					6	1		1	dct:creator							
45	5					rdaw:P10560	radio director family					6	1		1	dct:creator							
45	5					rdaw:P10561	television director family					6	1		1	dct:creator							
45	4				rdaw:P10598	organizer family						3	1		1	dct:creator							
45	4				rdaw:P10599	consultant family						3	1		1	dct:creator							
45	4				rdaw:P10632	collector family						3	1		1	dct:creator							
45	3			rdaw:P10630	collector collective agent							2	1		1	dct:creator							
45	4				rdaw:P10631	collector corporate body						3	1		1	dct:creator							
45	4				rdaw:P10632	collector family						3	1		1	dct:creator							
45	2		rdaw:P10629	collector agent								1	1		1	dct:creator							
45	3			rdaw:P10630	collector collective agent							2	1		1	dct:creator							
45	4				rdaw:P10631	collector corporate body						3	1		1	dct:creator							
45	4				rdaw:P10632	collector family						3	1		1	dct:creator							
45	3			rdaw:P10633	collector person							2	1		1	dct:creator							
46	1	rdaw:P10067	sponsoring agent of work									1	0		0	dct:creator							
46	2		rdaw:P10604	sponsoring collective agent of work								1	1		1	dct:creator							
46	3			rdaw:P10605	sponsoring corporate body of work							1	1		1	dct:creator							
46	3			rdaw:P10606	sponsoring family of work							1	1		1	dct:creator							
46	2		rdaw:P10607	sponsoring person of work								1	1		1	dct:creator							
47	1	rdaw:P10088	title of work									1	0		0	dct:title							
47	2		rdaw:P10086	variant title of work								1	1		1	dct:title							
47	2		rdaw:P10223	preferred title of work								1	1		1	dct:title							
47	2		rdaw:P10367	key title								1	1		1	dct:title							
48	1	rdaw:P10109	summary									1	0		0	dct:abstract	dct:description						
48	2		rdaw:P10107	abstract								1	1		1	dct:abstract							
49	1	rdaw:P10142	adaptation of work									1	0		0	dct:hasVersion							
49	2		rdaw:P10127	dramatization of work								1	3		3		*dct:isVersionOf						
49	2		rdaw:P10128	verse adaptation of work								1	3		3		*dct:isVersionOf						
49	2		rdaw:P10129	motion picture adaptation of work								1	3		3		*dct:isVersionOf						
49	2		rdaw:P10130	novelization of work								1	3		3		*dct:isVersionOf						
49	2		rdaw:P10131	radio adaptation of work								1	3		3		*dct:isVersionOf						
49	2		rdaw:P10132	television adaptation of work								1	3		3		*dct:isVersionOf						
49	2		rdaw:P10133	screenplay based on work								1	3		3		*dct:isVersionOf						
49	3			rdaw:P10134	motion picture screenplay based on work							1	1		1		dct:isVersionOf						
49	3			rdaw:P10135	television screenplay based on work							1	1		1		dct:isVersionOf						
49	3			rdaw:P10136	video screenplay based on work							1	1		1		dct:isVersionOf						
49	2		rdaw:P10137	radio script based on work								1	3		3		*dct:isVersionOf						
49	2		rdaw:P10138	video adaptation of work								1	3		3		*dct:isVersionOf						
49	2		rdaw:P10189	libretto based on work								1	3		3		*dct:isVersionOf						
49	2		rdaw:P10233	musical theatre adaptation of work								1	3		3		*dct:isVersionOf						
49	2		rdaw:P10234	opera adaptation of work								1	3		3		*dct:isVersionOf						
49	2		rdaw:P10250	video game adaptation of work								1	3		3		*dct:isVersionOf						
49	2		rdaw:P10252	graphic novelization of work								1	3		3		*dct:isVersionOf						
49	2		rdaw:P10288	oratorio adaptation of work								1	3		3		*dct:isVersionOf						
50	1	rdaw:P10198	related work of work									1	0		0	dct:relation							
50	2		rdaw:P10019	part of work								1	1		1		dct:isPartOf						
50	2		rdaw:P10020	sequel work								1	1		1			dct:isVersionOf					
50	2		rdaw:P10122	prequel work								1	1		1			dct:isVersionOf					
50	2		rdaw:P10147	part work								1	1		1				dct:hasPart				
50	2		rdaw:P10257	subject work								2	3	1	3					*dct:subject			
50	3			rdaw:P10100	description of work							3	1		1					dct:subject			
50	4				rdaw:P10621	metadata description of work						3	1		1					dct:subject			
50	3			rdaw:P10153	evaluation of work							2	1		1					dct:subject			
50	4				rdaw:P10178	review of work						2	1		1					dct:subject			
50	4				rdaw:P10182	critique of work						2	1		1					dct:subject			
50	2		rdaw:P10336	transformation								1	1		1						dct:hasVersion		
50	3			rdaw:P10340	transformation by style							1	1		1						dct:hasVersion		
50	4				rdaw:P10099	freely translated as work						1	3		1			*dct:isVersionOf					
50	4				rdaw:P10117	imitated as work						1	1		1						dct:hasVersion		
50	5					rdaw:P10144	parodied as work					1	1		1						dct:hasVersion		
50	3			rdaw:P10342	transformation by genre							1	1		1						dct:hasVersion		
50	4				rdaw:P10148	derivative work						1	1		1						dct:hasVersion		
50	5					rdaw:P10028	modified by variation as work					1	3		1			*dct:isVersionOf					
50	5					rdaw:P10033	set to music as work					1	1		1						dct:hasVersion		
50	5					rdaw:P10089	abstracted in work					1	3		3							*dct:abstract	
50	5					rdaw:P10155	adapted as work					1	1		1						dct:hasVersion		
50	6						rdaw:P10016	dramatized as work				1	1		1						dct:hasVersion		
50	6						rdaw:P10023	adapted in verse as work				1	1		1						dct:hasVersion		
50	6						rdaw:P10025	adapted as motion picture work				1	1		1						dct:hasVersion		
50	6						rdaw:P10034	adapted as novel work				1	1		1						dct:hasVersion		
50	6						rdaw:P10076	adapted as radio program work				1	1		1						dct:hasVersion		
50	6						rdaw:P10085	adapted as television program work				1	1		1						dct:hasVersion		
50	6						rdaw:P10087	adapted as video work				1	1		1						dct:hasVersion		
50	6						rdaw:P10091	adapted as choreography work				1	1		1						dct:hasVersion		
50	6						rdaw:P10095	adapted as screenplay work				1	1		1						dct:hasVersion		
50	7							rdaw:P10094	adapted as motion picture screenplay work			1	1		1						dct:hasVersion		
50	7							rdaw:P10096	adapted as television screenplay work			1	1		1						dct:hasVersion		
50	7							rdaw:P10097	adapted as video screenplay work			1	1		1						dct:hasVersion		
50	6						rdaw:P10098	adapted as radio script work				1	1		1						dct:hasVersion		
50	6						rdaw:P10113	adapted as libretto work				1	1		1						dct:hasVersion		
50	6						rdaw:P10235	adapted as musical theatre work				1	1		1						dct:hasVersion		
50	6						rdaw:P10236	adapted as opera work				1	1		1						dct:hasVersion		
50	6						rdaw:P10249	adapted as video game work				1	1		1						dct:hasVersion		
50	6						rdaw:P10251	adapted as graphic novel work				1	1		1						dct:hasVersion		
50	6						rdaw:P10289	adapted as oratorio work				1	1		1						dct:hasVersion		
50	5					rdaw:P10167	abridged as work					1	1		1						dct:hasVersion		
50	5					rdaw:P10171	digested as work					1	1		1						dct:hasVersion		
50	3			rdaw:P10344	transformation by policy							1	1		1						dct:hasVersion		
50	4				rdaw:P10170	succeeded by work						1	3		1								*dct:isReplacedBy
50	5					rdaw:P10021	replaced in part by work					1	1		1								dct:isReplacedBy
50	5					rdaw:P10022	replaced by work					1	1		1								dct:isReplacedBy
50	5					rdaw:P10104	separated into work					1	3		1			*dct:isVersionOf					
50	5					rdaw:P10145	absorbed by work					1	1		1								dct:isReplacedBy
50	5					rdaw:P10146	absorbed in part by work					1	1		1								dct:isReplacedBy
50	4				rdaw:P10377	transformation by extension plan						1	1		1						dct:hasVersion		
50	5					rdaw:P10381	serialized version					1	1		1						dct:hasVersion		
50	3			rdaw:P10383	transformation by audience							1	1		1						dct:hasVersion		
50	4				rdaw:P10385	language version						1	1		1						dct:hasVersion		
50	2		rdaw:P10337	transformation of								1	1		1			dct:isVersionOf					
50	3			rdaw:P10341	transformation by style of							1	1		1			dct:isVersionOf					
50	4				rdaw:P10143	free translation of work						1	1		1			dct:isVersionOf					
50	4				rdaw:P10196	imitation of work						1	1		1			dct:isVersionOf					
50	5					rdaw:P10197	parody of work					1	1		1			dct:isVersionOf					
50	3			rdaw:P10343	transformation by genre of							1	1		1			dct:isVersionOf					
50	3			rdaw:P10345	transformation by policy of							1	1		1			dct:isVersionOf					
50	4				rdaw:P10378	transformation by extension plan of						1	1		1			dct:isVersionOf					
50	5					rdaw:P10391	serialized version of					1	1		1			dct:isVersionOf					
50	3			rdaw:P10384	transformation by audience of							1	1		1			dct:isVersionOf					
50	4				rdaw:P10388	language version of						1	1		1			dct:isVersionOf					
