Group no.	Hierarchy level	RDA element	Element name									Occurrence count	Hierarchical consistency code: Code 1	Code 2	Code 3	DC term							
1	6						rdae:P20377	commentator person				5	1		1	dct:contributor							
1	6						rdae:P20436	commentator collective agent				5	1		1	dct:contributor							
1	7							rdae:P20495	commentator corporate body			15	1		1	dct:contributor							
1	7							rdae:P20554	commentator family			15	1		1	dct:contributor							
1	5					rdae:P20022	narrator agent					1	1		1	dct:contributor							
1	6						rdae:P20378	narrator person				5	1		1	dct:contributor							
1	6						rdae:P20437	narrator collective agent				5	1		1	dct:contributor							
1	7							rdae:P20496	narrator corporate body			15	1		1	dct:contributor							
1	7							rdae:P20555	narrator family			15	1		1	dct:contributor							
1	5					rdae:P20023	storyteller agent					1	1		1	dct:contributor							
1	6						rdae:P20379	storyteller person				5	1		1	dct:contributor							
1	6						rdae:P20438	storyteller collective agent				5	1		1	dct:contributor							
1	7							rdae:P20497	storyteller corporate body			15	1		1	dct:contributor							
1	7							rdae:P20556	storyteller family			15	1		1	dct:contributor							
1	5					rdae:P20024	speaker agent					1	1		1	dct:contributor							
1	6						rdae:P20380	speaker person				5	1		1	dct:contributor							
1	6						rdae:P20439	speaker collective agent				5	1		1	dct:contributor							
1	7							rdae:P20498	speaker corporate body			15	1		1	dct:contributor							
1	7							rdae:P20557	speaker family			15	1		1	dct:contributor							
1	5					rdae:P20025	singer agent					1	1		1	dct:contributor							
1	6						rdae:P20382	singer person				5	1		1	dct:contributor							
1	6						rdae:P20441	singer collective agent				5	1		1	dct:contributor							
1	7							rdae:P20500	singer corporate body			15	1		1	dct:contributor							
1	7							rdae:P20559	singer family			15	1		1	dct:contributor							
1	5					rdae:P20054	presenter agent					1	1		1	dct:contributor							
1	6						rdae:P20388	presenter person				5	1		1	dct:contributor							
1	6						rdae:P20447	presenter collective agent				5	1		1	dct:contributor							
1	7							rdae:P20506	presenter corporate body			15	1		1	dct:contributor							
1	7							rdae:P20565	presenter family			15	1		1	dct:contributor							
1	5					rdae:P20351	performer person					4	1		1	dct:contributor							
1	6						rdae:P20369	actor person				5	1		1	dct:contributor							
1	6						rdae:P20370	onscreen presenter person				5	1		1	dct:contributor							
1	6						rdae:P20371	dancer person				5	1		1	dct:contributor							
1	6						rdae:P20372	host person				5	1		1	dct:contributor							
1	6						rdae:P20373	moderator person				5	1		1	dct:contributor							
1	6						rdae:P20374	puppeteer person				5	1		1	dct:contributor							
1	6						rdae:P20375	panelist person				5	1		1	dct:contributor							
1	6						rdae:P20376	instrumentalist person				5	1		1	dct:contributor							
1	6						rdae:P20377	commentator person				5	1		1	dct:contributor							
1	6						rdae:P20378	narrator person				5	1		1	dct:contributor							
1	6						rdae:P20379	storyteller person				5	1		1	dct:contributor							
1	6						rdae:P20380	speaker person				5	1		1	dct:contributor							
1	6						rdae:P20381	instructor person				5	1		1	dct:contributor							
1	6						rdae:P20382	singer person				5	1		1	dct:contributor							
1	6						rdae:P20383	conductor person				5	1		1	dct:contributor							
1	7							rdae:P20336	choral conductor person			6	1		1	dct:contributor							
1	7							rdae:P20368	instrumental conductor person			6	1		1	dct:contributor							
1	6						rdae:P20388	presenter person				5	1		1	dct:contributor							
1	5					rdae:P20410	performer collective agent					4	1		1	dct:contributor							
1	6						rdae:P20428	actor collective agent				5	1		1	dct:contributor							
1	7							rdae:P20443	voice actor collective agent			6	1		1	dct:contributor							
1	8								rdae:P20502	voice actor corporate body		21	1		1	dct:contributor							
1	7							rdae:P20487	actor corporate body			15	1		1	dct:contributor							
1	8								rdae:P20502	voice actor corporate body		21	1		1	dct:contributor							
1	7							rdae:P20546	actor family			15	1		1	dct:contributor							
1	6						rdae:P20429	onscreen presenter collective agent				5	1		1	dct:contributor							
1	7							rdae:P20488	onscreen presenter corporate body			15	1		1	dct:contributor							
1	7							rdae:P20547	onscreen presenter family			15	1		1	dct:contributor							
1	6						rdae:P20430	dancer collective agent				5	1		1	dct:contributor							
1	7							rdae:P20489	dancer corporate body			15	1		1	dct:contributor							
1	7							rdae:P20548	dancer family			15	1		1	dct:contributor							
1	6						rdae:P20431	host collective agent				5	1		1	dct:contributor							
1	7							rdae:P20490	host corporate body			15	1		1	dct:contributor							
1	7							rdae:P20549	host family			15	1		1	dct:contributor							
1	6						rdae:P20432	moderator collective agent				5	1		1	dct:contributor							
1	7							rdae:P20491	moderator corporate body			15	1		1	dct:contributor							
1	7							rdae:P20550	moderator family			15	1		1	dct:contributor							
